page,title,info
https://www.louvre.fr/en/oeuvre-notices/body-woman-probably-nefertiti,"Body of a Woman, probably Nefertiti ","This piece of sculpture illustrates the level of skill achieved by certain artists during the el-Amarna period. The sculptor fully mastered the style and strictly applied the canons imposed by the new doctrine. The secret of this work's success lies in the delicate volumes: the shape of the body's lower limbs is underscored by the drapery of the clothing, which is slightly incised in the red sandstone. This expansive female body is generally identified as Nefertiti, wife of Amenophis IV- Akhenat"
https://www.louvre.fr/en/oeuvre-notices/book-mythological-images-name-nespakashuty-accountant-granaries-amun,"Book of mythological images in the name of Nespakashuty, accountant of the granaries of Amun ","This papyrus belongs to a category of funerary books dating from the 21st Dynasty, known as ""mythological papyri."" These are characterized by the preponderance of image over text. They contain vignettes taken from previous funerary books (in this case, the goddess Nut giving the deceased water to drink) together with mythological scenes (here, the creation of the world)."
https://www.louvre.fr/en/oeuvre-notices/bowl-general-djehuty,Bowl of General Djehuty ,"This shallow, straight-edged bowl (a form which was also discovered at Ugarit) names Djehuty, a famous general in the service of Tuthmosis III. Various museums now own a number of precious objects which once belonged to him and were probably found in his tomb (whose whereabouts is unknown). After his death, General Djehuty entered Egyptian legend as the hero of a story, the text of which has come down to us."
https://www.louvre.fr/en/oeuvre-notices/cartonnage-ankhpakhered-barber-amun,"Cartonnage of Ankhpakhered, a barber of Amun ","This brightly colored cartonnage contained the mummy of an Egyptian named Ankhpakhered. It depicts the deceased wrapped in his shroud. A floral band wraps around the tripartite wig. Two falcons, with extended wings and wearing sun disk crowns, are placed just below the wide necklace covering his chest; one has a ram's head. The rest of the cartonnage is decorated with various protective images, predominantly goddess's wings and Osirian emblems."
https://www.louvre.fr/en/oeuvre-notices/cat,Cat ,"This haughty and elegant seated cat is one of many ex-votoes from the Late Period (664-332 BC); these objects were placed in the temples to Bastet to honor the goddess and earn her protection for the donor. Admire the brilliant workmanship of the Saite bronzesmith; the pure lines and extremely smooth finish on this sculpture endow this small domestic animal with the dignity of the goddess, daughter of the sun, and patron saint of the home."
https://www.louvre.fr/en/oeuvre-notices/chair,Chair ,"This chair was part of an astonishing collection of antiquities formed between 1819 and 1824 by Henry Salt (then British consul in Egypt), acquired by the Louvre in 1826 on the advice of Jean-François Champollion. Nothing, however, is known of where it was found. While it is of a type very common in the New Kingdom, its proportions and state of preservation are exceptional."
https://www.louvre.fr/en/oeuvre-notices/chalice-form-lotus,Chalice in the form of a lotus ,"This drinking-cup in bright-blue faience, with its molded decoration, is by no means a commonplace object. If it were indeed once used for drinking, it would have been exceptional in its rich decoration. Yet its form is not to be found among the ritual vessels represented in traditional religious scenes."
https://www.louvre.fr/en/oeuvre-notices/chandelier,Chandelier ,"This bronze chandelier, intended to hang in a church, consists of a cylinder bearing a Greek inscription, ""Maria, daughter of Levi,"" surmounted by removable branches in the form of dolphins holding drip glasses, or small containers for oil. Suspended from three long chains, it would have shed a bright circle of light inside the building, far outshining in intensity the more commonplace terracotta lamps with a single spout."
https://www.louvre.fr/en/oeuvre-notices/chapel-tomb-akhethotep,Chapel of the tomb of Akhethotep ,"The Louvre launches its new crowdfunding campaign to reconstruct the mastaba chapel of Akhethotep from October 11, 2016 to January 31, 2017. Join the campaign at "
https://www.louvre.fr/en/oeuvre-notices/chelidonas-coffin,Chelidona's Coffin ,"This coffin, created from several recycled boards that were skillfully assembled, has the same form as the pharaonic coffin with corner posts. The deceased, Chelidona, which means ""swallow"" in Greek, is depicted bedecked in jewelry, while the casket itself is decorated with many images, along with two inscriptions: one in demotic script, and the other in Greek."
https://www.louvre.fr/en/oeuvre-notices/christ-and-abbot-mena,Christ and Abbot Mena ,"This exceptional painting on wood comes from the monastery of Bawit in Middle Egypt. Dated to the 8th century, it represents Christ (easily recognizable by his halo with a cross) and Abbot Mena, the superior of the monastery at the time. The abbot holds a scroll in his left hand; this may have contained the rules of his monastery."
https://www.louvre.fr/en/oeuvre-notices/coffin-cover-king-antef-sekhemre-herouhermaat,Coffin cover of King Antef Sekhemrê Herouhermaât ,"The coffin cover of Antef Sekhemrê Herouhermaât represents the king as a mummy wrapped in a shroud decorated with two large winged figures. On his head the dead sovereign is wearing the pleated cloth headdress known as a ""nemes,"" adorned with feathers. A broad necklace with fasteners in the shape of falcon heads covers his chest. The relatively rudimentary depiction of the body and face, as well as the brightly colored design, give this royal coffin a rather crude appearance. "
https://www.louvre.fr/en/oeuvre-notices/colossal-statue-ramesses-ii,Colossal statue of Ramesses II ,"This statue represents a king, sitting on a throne covered in inscriptions in the name of Ramesses II. The original identity of this work was the subject of much heated debate: traces of modifications to the crown, face, torso, and throne were long thought to indicate that the king had re-used an older work. It is almost certain, however, that these changes resulted from the monument being moved to another site during the course of the great pharaoh's sixty-seven-year reign."
https://www.louvre.fr/en/oeuvre-notices/comb,Comb ,"Despite its many missing teeth, this comb has retained its full value by virtue of its central scene, still virtually intact. It features three figures, with a Greek inscription above and below, together depicting a dance or poetry competition."
https://www.louvre.fr/en/oeuvre-notices/cosmetic-spoon,Cosmetic spoon ,"Is there anyone who has not seen one of these pretty, carved wooden figurines in an art book? They are called ""the swimmer spoons,"" as some of them are holding a duck with hinged wings that open to reveal a spoon. This charming work - one of the most famous in the Egyptian department - has far more meaning than first meets the eye."
https://www.louvre.fr/en/oeuvre-notices/couple-wood,Couple in wood ,"Despite its extensive damage, this statue of a couple walking is one of the masterpieces of wooden statuary from the Old Kingdom. The two figures are standing side by side, the woman to the right of the man. She is much smaller, and, according to the conventions of Egyptian art, is slightly behind her partner; her left arm is wrapped tenderly around her husband's waist."
https://www.louvre.fr/en/oeuvre-notices/cubit-rod-rule-maya-treasurer-tutankhamun,"Cubit rod (rule) of Maya, treasurer of Tutankhamun ","The recording of the harvest and the annual survey of agricultural land after the Nile flood, which displaced the marker stones, were two of the foundations of Egyptian bureaucracy. The unit of length was the cubit (of approximately 52.5 cm), and this is a particularly well-preserved cubit rod, which bears the name of a high official, Maya, royal treasurer under Tutankhamun and Horemheb."
https://www.louvre.fr/en/oeuvre-notices/cupids-picking-grapes,Cupids Picking Grapes ,"This large tapestry is exceptional for its size and imagery. Despite the fact that many pieces are missing, the original composition of the overall piece can be restored. The theme of the figurative scroll presents cupids picking grapes, a favorite image in the Greco-Roman world."
https://www.louvre.fr/en/oeuvre-notices/dagger-gebel-el-arak,Dagger from Gebel el-Arak ,"This unique dagger from the late predynastic period consists of a light silex blade, sculpted using a highly sophisticated technique, and an ivory handle featuring carved bas-relief scenes. It is one of the oldest known examples of bas-relief sculpture. The themes come from Nilotic as well as Mesopotamian traditions: animals, the hunt, lions overwhelmed by a figure, boats, and human combats."
https://www.louvre.fr/en/oeuvre-notices/detachable-headrest,Detachable headrest ,"Although the headrest or ""bed-head"" is hardly used in the modern world, this little furniture item looks surprisingly modern, practical, and elegant-as do many pieces of furniture from Pharaonic Egypt."
https://www.louvre.fr/en/oeuvre-notices/divine-standard,Divine standard ,"This bronze, topped with a sculpture in the round representing a mother cat and three lively kittens, was the upper part of a divine standard. The cat was first welcomed into Egyptian homes because of its hunting skills, but soon became a household pet. It was also associated with various deities, including the goddess Bast; from the Third Intermediate Period, it became the subject of many offerings to the goddess in the form of bronze statuettes which were placed in her temple. "
https://www.louvre.fr/en/oeuvre-notices/door-lintel,Door lintel ,"This lintel was found in 1927 by F. Bisson de la Roque, in the temple dedicated to the god Montu at Medamud, in Upper Egypt. It had been re-used in the foundations of the current temple and was lying face down on the ground, which explains the excellent state of preservation of the delicate relief. It entered the Louvre in 1930 subsequent to the division of excavation finds. It represents a complete and exemplary scene of a king making an offering to a god."
https://www.louvre.fr/en/oeuvre-notices/eagle-censer,Eagle censer ,"This large censer consists of a cassolette and metal lacework dome. The feet and top of the object are decorated with animals. Three hares support the lower section, while the eagle, its wings fully deployed, sits atop the piece. It holds a serpent in its beak, a unique feature in Coptic art. Although fragile, this extremely elegant piece is in good condition."
https://www.louvre.fr/en/oeuvre-notices/false-door-stele-sheshi,False Door on the Stele of Sheshi ,"The false door provided a way by which the deceased could pass from the world of the dead to the world of the living. This important functional element in Egyptian tombs therefore also served a magical purpose. This chapel was part of the tomb's superstructure and was accessible to the living, as opposed to an underground section containing the body of the deceased that was walled in during the burial ceremonies. This stele belonged to a dignitary from the Old Kingdom, Sheshi."
https://www.louvre.fr/en/oeuvre-notices/female-nude,Female Nude ,"This little statuette is one of a series of ivory figurines dated by scholars to circa the Early Dynastic Period. Although most have a tenon beneath the feet, it is not known to what they were fixed, and their purpose thus remains unknown. In the absence of any context of discovery, the probable date of the sculpture has been deduced from stylistic features."
https://www.louvre.fr/en/oeuvre-notices/figurine-naked-woman,Figurine of a naked woman ,"This delightful statuette resembles a bright blue faience doll. Its elegant nudity and totally unrealistic color make it an attractive object, but the raison d'être of this anonymous character, fashioned without legs, remains something of a mystery."
https://www.louvre.fr/en/oeuvre-notices/figurine-seated-woman,Figurine of a seated woman ,"Although it is damaged, this female figurine, sitting on a stool, is worthy of interest as her clothing evokes the fashions of the Byzantine Period. Every item of her outfit is well known: rolled headband (for holding a veil), long dress adorned with tapestry motifs, and slipper-style shoes. This figurine - a toy or ex-voto - featured among the grave goods unearthed from a cemetery at Antinoe."
https://www.louvre.fr/en/oeuvre-notices/foundation-deposit-temple-deir-el-bahri,Foundation deposit from the temple of Deir el-Bahri ,"Foundation deposits, such as these models of building tools, were buried prior to the construction of a temple or royal tomb—and sometimes of a fortress, palace, or city. Samples of materials used (bricks, stones) and miniature tools (axes, hoes, etc) commemorated the construction work, while vases evoked the food offerings required by the cult. The materials varied over the years."
https://www.louvre.fr/en/oeuvre-notices/four-baboons-adoring-rising-sun,Four baboons adoring the rising sun ,"This 5.7-ton block formed part of the base of one of the obelisks of the temple at Luxor: it comes from the back of the one that remains there, whose twin is on the Place de la Concorde in Paris. On their arrival in Paris, the Louvre's baboons, standing on their hind legs and lifting their arms to honor the sun, caused a scandal that seems somewhat amusing today."
https://www.louvre.fr/en/oeuvre-notices/four-vases-name-ramesses-ii,Four vases with the name of Ramesses II ,"These four, bright-blue glazed vases are in extremely good condition. They entered the Louvre collection as ""canopic"" recipients, designed to contain the embalmed viscera of the great king Ramesses II. Several recent studies have brought to light their long history from the temple to the necropolis."
https://www.louvre.fr/en/oeuvre-notices/fragment-funerary-shroud-called-portrait-ammonios,"Fragment of a funerary shroud, called ""Portrait of Ammonios"" ","The portrait on this shroud fragment is painted on a light-colored background. An ankh sign and a crouching god are placed on either side of the head. The young man's highly individual features make this portrait a striking one. His face is very long, with a prominent chin. He holds a wine goblet in his right hand; in his left, the rose-petal crown which signified that the deceased had been judged free from sin, and would be granted access to the afterlife. There are two rings on the left hand."
https://www.louvre.fr/en/oeuvre-notices/fragment-votive-monument-names-two-women-named-ta-di-imhotep,Fragment of a votive monument in the names of two women named Ta-di-Imhotep ,"Despite the austere and fragmentary appearance of this monument, it is an exceptional example of female images from the final Egyptian dynasties. In addition, it is one of three objects in the Department of Egyptian Antiquities that was reproduced in the famous Description de l’Egypte."
https://www.louvre.fr/en/oeuvre-notices/fragment-book-dead-papyrus-djedhor-working-fields-afterlife,Fragment of the Book of the Dead on Papyrus: Djedhor Working in the Fields of the Afterlife ,"After death, Egyptians hoped to reach a sort of paradise they called the Fields of Offerings - a land of abundance where barley was five cords (2.5 meters!) high, and wheat seven cords (3.5 meters) high. Chapter 110 of the Book of the Dead, a papyrus scroll, is illustrated with a map of this ideal countryside; the right to enter guaranteed prosperity and protected against hunger."
https://www.louvre.fr/en/oeuvre-notices/fragment-hunting-palette,Fragment of the Hunting Palette ,"The so-called ""Hunting Palette"" is among the objects that feature the earliest Egyptian bas-reliefs from the late predynastic period. These were large votive stone slabs with a central circular shape. One side of this stone is decorated with a hunting scene. The clothes, weapons, and certain symbols would be recurrent themes throughout the pharaonic civilization."
https://www.louvre.fr/en/oeuvre-notices/funerary-figurine-ramesses-iv,Funerary figurine of Ramesses IV ,"This funerary figurine was made for the pharaoh Ramesses IV. The proportions, the sculpting of the face, and the design of the text are beautifully crafted. Yet this period is often viewed as the start of the decline of Egypt. Although Ramesses IV ruled for only a short time, he continued the temple restoration campaign started by his father, Ramesses III, by supporting and increasing the number of the royal craftsmen at Deir el-Medina."
https://www.louvre.fr/en/oeuvre-notices/funerary-furniture-chancellor-nakhti-s-tomb,Funerary furniture from Chancellor Nakhti's tomb ,"The Louvre has half of the funerary furniture discovered in the untouched tomb of the Chancellor Nakhti, thanks to the policy of dividing excavation finds. This accumulation - nested sarcophagi, a beautiful statue carved from an acacia trunk, small models of storehouses and barks, mock weapons and toiletry items, mummy jewelry - seems odd, but according to religious beliefs, was essential to the deceased, who needed these objects in the afterlife."
https://www.louvre.fr/en/oeuvre-notices/funerary-hanging,Funerary hanging ,"On this large linen cloth are painted three figures, standing on the solar bark. Anubis, god of embalming, enfolds the deceased in the garment of the living, symbolizing the latter’s transformation into Osiris, on his right. Beside his head, a shaduf symbolizes the water needed for his survival. The purely Egyptian rendering of the figure of Anubis and the Hellenistic depictions of the deceased and of Osiris exemplify the mixed style characteristic of the art of Roman Egypt."
https://www.louvre.fr/en/oeuvre-notices/funerary-statue-priestess-isis,Funerary Statue of a Priestess of Isis ,"This funerary portrait shows the deceased as a priestess of Isis. A niche figure carved in high relief, it seems to have come from a mausoleum at Oxyrhynchos, an Egyptian city built during the Roman period, 300 kilometers south of Alexandria."
https://www.louvre.fr/en/oeuvre-notices/funerary-stele-0,Funerary stele ,"This wooden stele in the form of the ankh, the symbol of life, was created during the Pharaonic period. A Coptic text, which attributes the stele to a certain Pantoleos, who died in the early tenth century AD, is engraved on three of its sides. The stele is interesting both in terms of the materials used and its shape."
https://www.louvre.fr/en/oeuvre-notices/funerary-stele-father-and-his-son,Funerary stele of a father and his son ,"This is an example of the iconography typical of funerary steles from Abydos, showing Anubis presenting the deceased to Osiris. Here, a justified father and son, each of whom has an Anubis in the role of guardian angel, are being presented to Osiris, god of the underworld and lord of Abydos."
https://www.louvre.fr/en/oeuvre-notices/funerary-stele-two-orant-figures,Funerary stele with two orant figures ,"""Lord, grant repose to the souls of your servants Anba Kyr and Ioanna his sister; they rested in peace on the eleventh of Pharmuthi, 15th indiction."" The two protagonists of this epitaph are represented beneath a double arch, in an attitude of prayer for all eternity. The priest and his sister, who died in April, hold up their unusually large hands to God - signs of their fervor, or of the sculptor's incompetence?"
https://www.louvre.fr/en/oeuvre-notices/furniture-leg-form-nude-woman,Furniture leg in the form of a nude woman ,"Many examples of ancient Egyptian furniture still exist, preserved by the hot dry climage of the Nile Valley. This one, a simple furniture leg, is an exceptional piece of elaborate carving, made from a branch of ebony. It probably comes from Napata, the capital of Nubia, rather than Egypt. This city was downriver from the fourth cataract of the Nile. "
https://www.louvre.fr/en/oeuvre-notices/gaia-cupids,Gaia with Cupids ,"This bas-relief was no doubt a lintel adorning a building which is unknown to us. A richly-adorned female bust is framed by a heavy plant wreath upheld by two winged Cupids. The attributes of the central figure - a plant headdress, a bouquet of fruit and foliage, and baskets overflowing with the fruits of the earth - suggest a representation of Gaia, the Greek earth goddess. Coptic art perpetuated the memory of the Hellenistic past."
https://www.louvre.fr/en/oeuvre-notices/game-board-form-hippopotamus,Game board in the form of a hippopotamus ,"The ancient Egyptians left much evidence of the games they played. This game board, however, is unique, both in its novel hippopotamus form and in the sophistication of its material, a fine faience inlaid with brilliant colors. The back of the board has the fifty-eight holes used for playing a game that was popular throughout the whole of the ancient Middle East."
https://www.louvre.fr/en/oeuvre-notices/game-box-name-imenmes,Game box in the name of Imenmes ,"From the New Kingdom onward, the track for the game of Senet was usually engraved on the surface of a wooden box featuring a drawer for the playing pieces, while in previous periods the game seems to have been an integral part of a low table. Funerary scenes show the tomb owner seated at a tall pedestal table on which the game box is placed. On the underside of this particular box (as of many others) is a grid for the game of ""Twenty Squares"" which had recently been imported from the Near East."
https://www.louvre.fr/en/oeuvre-notices/gilded-cartonnage-lady-tasheret-pa-ankh,Gilded cartonnage of the lady Tasheret-pa-ankh ,"The lady Tasheret-pa-ankh was surely no ordinary person: her mummy had a protective casing entirely covered in gold leaf, a cartonnage composed of several layers of plastered linen. This is a fine example of Egyptian funerary equipment of the Greek period. It is decorated in relief with religious scenes and ritual and biographical inscriptions."
https://www.louvre.fr/en/oeuvre-notices/great-sphinx-tanis,Great Sphinx of Tanis ,"The sphinx is a fabulous creature with the body of a lion and the head of a king. This one was successively inscribed with the names of the pharaohs Ammenemes II (12th Dynasty, 1929-1895 BC), Merneptah (19th Dynasty, 1212-02 BC) and Shoshenq I (22nd Dynasty, 945-24 BC). According to archaeologists, certain details suggest that this sphinx dates to an earlier period - the Old Kingdom (c. 2600 BC)."
https://www.louvre.fr/en/oeuvre-notices/guardian-lion-entrance-chapel-serapeum-saqqara,Guardian Lion at the Entrance to a Chapel of the Serapeum of Saqqara ,"This lion, which looks like a large cat at rest, does not comply with the usual image we hold of the fearsome Egyptian sphinx. This unusual sculpture, created under the reign of Amenophis III circa 1400-1350 BC, is best known through statues from the fourth century BC or later. The Louvre's lion, which comes from the Serapeum of Saqqara, forms a pair with a symmetrical lion that once greeted visitors at the first pylon of the temple."
https://www.louvre.fr/en/oeuvre-notices/head-colossal-statue-amenophis-iii,Head of a colossal statue of Amenophis III ,"This head represents Amenophis III as the king of Upper Egypt. It belonged to one of the granite colossi erected by the king in his temple at Kom el-Hettan, whose entrance was flanked by the Colossi of Memnon. This temple, now in ruins, was once adorned with a great wealth of statuary."
https://www.louvre.fr/en/oeuvre-notices/head-sphinx-king-djedefre,Head of a sphinx of King Djedefre ,"Djedefre, son and successor of Cheops, is less well known than his father or his brother Khafre. He did not have his pyramid built on the famous Giza plateau as they did, but eight kilometers to the north at Abu Roash. This portrait was among the thousands of fragments of statues and architectural remains found in the early 20th century by the French Institute of Oriental Archaeology, during excavations in the ruins of his pyramid temple."
https://www.louvre.fr/en/oeuvre-notices/hippopotamus-figurine,Hippopotamus figurine ,"This benevolent-looking hippopotamus slips into the marshes, taking on their colour and half-engulfed in water plants. Bright-blue Egyptian faience figures of hippopotami such as this were placed in the tombs of high-ranking civil servants toward the end of the Middle Kingdom."
https://www.louvre.fr/en/oeuvre-notices/hoe,Hoe ,"The hoe, the basic implement for working the earth, is still used in Egypt today. This multifunctional tool played an important role in a country where survival depended on agriculture and irrigation. This one, composed of two wooden elements and a piece of rope, thus provides fascinating evidence of everyday life in ancient Egypt."
https://www.louvre.fr/en/oeuvre-notices/horus,Horus ,"Originally, this bronze statue of the god Horus was covered with precious materials; inlays of glass or colored faience; and gilt coating or gold plate, to evoke the eternal indestructible flesh of the gods. These elements also concealed the joints between the various sections cast using the lost-wax technique. The statue has no text, but the style and craftsmanship date the work to the Third Intermediate Period."
https://www.louvre.fr/en/oeuvre-notices/horus-horseback,Horus on horseback ,"This object was obviously designed as part of a window. The subject of the sculpture is highly original and reflects the blending of Egyptian and Greco-Roman traditions. A horseman, who is none other than the god Horus, is stabbing his spear into a crocodile, the animal that symbolized the god Setekh. This strange combat represents the victory of Good over Evil."
https://www.louvre.fr/en/oeuvre-notices/hypocephalus-irethorrou,Hypocephalus of Irethorrou ,"This odd disk, covered with strange images and texts, is known as ""hypocephalus,"" a Greek word for ""that which is below the head,"" in reference to the object's funerary function. This unusual religious pillow enabled the deceased to identify himself to the sun god by the flash of light it created."
https://www.louvre.fr/en/oeuvre-notices/imhotep-wise-deified,Imhotep the Wise Deified ,"Few individuals in Egypt rose to the status of a god. Yet Imhotep, a brilliant statesmen from the Third Dynasty, was one of them. This wise man designed the first pyramid for his king, Djoser, in the mid-twenty-seventh century BC. Venerated during the New Kingdom as the ""patron saint"" of scribes, deified in the seventh century BC, and considered the protector of scholars and doctors, he was often portrayed as a scribe. This statue depicts a seated priest with a papyrus unrolled on his knees."
https://www.louvre.fr/en/oeuvre-notices/inventory-and-accounts-temple-abusir,Inventory and accounts from a temple of Abusir ,"These archives, discovered in the 19th century in Abusir, are among the oldest known hieratic papyri. Employee tasks, inventories, and especially accounts were noted daily or monthly on records. One of these two fragments provides a detailed inventory of cult vases; the other, a monthly summary of deliveries of goods."
https://www.louvre.fr/en/oeuvre-notices/jar-portrait,Jar with portrait ,"This large biconical storage jar was no doubt half-buried, with only the upper part showing. The typically Coptic decoration shows a couple of lions attacking a gazelle (or an onager), with fish, birds, and a female bust among berry-bearing plants."
https://www.louvre.fr/en/oeuvre-notices/jonah-wall-hanging,Jonah wall-hanging ,"This tapestry, in linen and wool, features a highly complex chromatic composition. It is part of a series, many copies of which have been found in Middle Egypt. The Louvre version combines two allusions to the Resurrection of Christ (the Biblical story of Jonah, and a representation of a peacock holding a cross, or ankh, in its beak), with a lavishly-adorned complex cross, asserting the triumph of Christianity."
https://www.louvre.fr/en/oeuvre-notices/khabekhent-s-funerary-servant-and-ushabti-chest,Khabekhent's funerary servant and ushabti chest ,"Khabekhent's funerary servant and chest were discovered in 1886 in the untouched tomb of his father, Sennedjem, in Deir el-Medina. Although the village craftsmen had few statuettes, the quality of those that remain illustrate their social standing and expertise. The chest is shaped like an archaic chapel from Lower Egypt. The decorated surface features the deceased, smelling a lotus, and his heavily bejeweled wife, both sitting under a canopy. The style is in keeping with the lavish decoration."
https://www.louvre.fr/en/oeuvre-notices/knucklebones,Knucklebones ,"Knucklebones, like throwsticks, featured among the accessories for board games, and were used by players to determine how far their pieces could move along the track. They were not Egyptian in origin, but were imported from the Near East from the early New Kingdom onward."
https://www.louvre.fr/en/oeuvre-notices/kohl-pot-form-nubian-porter,Kohl pot in the form of a Nubian porter ,This little kohl pot in the form of a servant is an excellent example of the taste of the refined society that developed in the New Kingdom. Wealthy people took great care over their toilet. They also enjoyed surrounding themselves with elegant objects and reminders of their own privileges.
https://www.louvre.fr/en/oeuvre-notices/kohl-recipient-god-bes,Kohl Recipient: the god Bes ,"The figurine has lost its feet and plinth, which have now been replaced by a modern base. The earrings and the pivoting top of this kohl recipient are also missing. These objects were often made in the form of the god Bes, who protected the valuable contents. The palette of bright colors that sparkle against the white background is especially remarkable in that it was created with metal oxides."
https://www.louvre.fr/en/oeuvre-notices/krater,Krater ,"This vessel is an example of Egyptian craftsmanship from the early Roman period; the form was derived from a Greek prototype, the material of Egyptian invention. The decoration consists of stylized plant motifs created from a basic element: a small, bright blue-green leaf, which stands out against a dark purple ground."
https://www.louvre.fr/en/oeuvre-notices/large-bottle-vine-leaf-decoration,Large bottle with vine-leaf decoration ,"This large, two-tone pottery bottle was found in a grave in Sedeinga in Sudan, in a cemetery dating from the Meroitic period. Painted ceramics were an important feature of the art of this civilization, which grew up between the Second and Sixth Cataracts of the Nile and lasted from the Hellenistic period through the Late Roman Empire."
