page,title,info
http://www.getty.edu/art/collection/objects/325999/attributed-to-the-timiades-painter-neck-amphora-with-a-erotic-scene-and-b-man-and-woman-between-sphinxes-greek-attic-565-550-bc/,Neck amphora with (A) erotic scene and (B) man and woman between sphinxes,"Ovoid neck amphora with three friezes of decoration on the body. Both sides of the neck are decorated with a palmette-lotus cross. Alternating black and red tongues on the shoulder. On A, a group of naked men and women. From left, a male youth looking back towards a second male (bearded) with an erection who leers at a nude woman holding wreaths in both hands. In front of her, another bearded male with an erection, gesturing at the buttocks of a nude youth who looks backward as he masturbates behind a second nude woman. At right, two bearded men gesture downwards, looking back at a nude youth. He also gestures downwards, but with a single finger extended. On B, a bearded man and a woman (clothed) dance between two sphinxes. Around the middle frieze, animals (felines, water bird, deer). Around the lower frieze, animals (felines, rams). Rays above the base. 
The vase is heavily damaged with large sections missing."
http://www.getty.edu/art/collection/objects/337412/juan-conchillos-falco-saint-john-the-baptist-spanish-november-9-1695/,Saint John the Baptist,"On striking blue prepared paper, this academic figure study is posed as Saint John the Baptist. Seen from below, suggesting that the model stood on a raised platform, the saint looms large and monumental. The artist Juan Conchillos Falco modeled his figure using the blue as a middle tone. Charcoal and white watercolor forcefully articulate the anatomical form of the saint, and convey his powerful presence. Saint John's musculature is dramatically portrayed in gritty black lines built up in bold succession. The summary treatment of the drapery, executed in broad, jagged strokes, gives the saint's clothing an abstract quality that reiterates the drawing's primary purpose as a study of the male body. On close examination, the charcoal's rough texture reflects glints of light, creating a seamless marriage between medium, technique, and subject."
http://www.getty.edu/art/collection/objects/294078/wouter-crabeth-the-prophet-habakkuk-and-the-angel-netherlandish-about-1565/,The Prophet Habakkuk and the Angel,"The panel depicts a rarely represented episode from one of the apocryphal chapters of the biblical Book of Daniel (14:32-35). While taking food to workers in a field, the prophet Habakkuk is interrupted by an angel who instructs him to deliver the meal instead to Daniel trapped in the lions’ den in Babylon. Here the encounter between Habakkuk and the angel is depicted in the foreground, the prophet holds a large bowl with high handles, and reapers are shown in the middle ground. The two figures are seen again at the top of the composition with the angel holding Habbakuk by the hair while carrying him to the city of Babylon, seen in the background. This panel was probably one of a series by Wouter Crabeth illustrating episodes from the Book of Daniel. Wouter and his elder brother Dirck were the most famous Netherlandish glass painters of the sixteenth century, admired especially for their windows produced for the Sint Janskerk at Gouda."
http://www.getty.edu/art/collection/objects/5806/beauvais-manufactory-woven-under-the-direction-of-philippe-behagle-after-cartoons-by-guy-louis-vernansal-et-al-tapestry-les-astronomes-from-l'histoire-de-l'empereur-de-la-chine-series-french-about-1697-1705/,"Tapestry: Les Astronomes, from L'Histoire de l'empereur de la Chine Series","In a tapestry from the series known as The Story of the Emperor of China, European and Chinese figures assemble on a stone terrace around an elaborately mounted globe. In the center of the group stands the Chinese emperor, wearing the imperial insignia of the winged dragon and gesturing with one hand while the other rests possessively on the globe. The bearded man taking a measurement on the globe with a pair of dividers is the German Jesuit priest Father Schall von Bell, who attained a high rank in the Qing court through his knowledge of Western astronomy. He headed the Imperial Astronomical Bureau and developed a close personal relationship with the emperor, based on a shared interest in mathematics and astronomy."
http://www.getty.edu/art/collection/objects/328113/edme-bouchardon-hercules-subduing-the-centaurs-french-about-1735-1740/,Hercules Subduing the Centaurs,"Wielding his chalk with characteristic grace and precision, Bouchardon carved out his grappling figures from the shadows of an imagined grotto. At center, the hero Hercules--recognizable by a lion's skin worn around his waist and a knotty club in his grasp--straddles one thrashing centaur and prepares to deal the other a mighty blow. Though this scene is fantastical, the straining human and equine anatomy seems observed firsthand. Bold, decisive contour lines enclose each figure, setting the group apart, in crisp relief, from the rapid red chalk hatch-work of the rugged plinth and alcove. These rocky forms and the overturned jar at right confirm that the drawing represents an unrealized design for a grotto fountain. 
The story of Hercules's battle with the centaurs is usually told in the context of his fourth labor. On his way to Mount Erymanthos, Hercules pays a visit to the cave of his friend the centaur Pholus, whom he persuades to open a jar of wine originally given by Bacchus to all the centaurs. Smelling the wine, Pholus's fellow centaurs arrive to discover Hercules drinking from their jar; failing to understand that wine should be mixed with water, they begin to drink it undiluted and then set upon Hercules in anger. He subdues them with poisoned arrows and eventually continues on his way to kill the Erymanthian boar. Curiously, in Bouchardon's rendition of the scene, Hercules wields not a bow and poisoned arrows but his accustomed club. The artist here apparently sacrificed a certain measure of fidelity to the story in favor of a more thrilling and direct confrontation between the hero and his intoxicated foes, tangled together in a mass of muscle and hair. The cave setting of the story made it ideally suited for depiction in a fountain sculpture; in a witty detail devised by Bouchardon, water would have flowed from the centaurs' supposedly undiluted wine jug at right."
http://www.getty.edu/art/collection/objects/327105/unknown-maker-relief-with-theater-masks-roman-1st-century-ad/?dz=,Relief with Theater Masks,"The rectangular, two-sided relief is carved on one side with two confronted theater masks, one representing a bearded man, who is accompanied by a scepter, and the other a youthful male beside a lyre. Sculpted in low relief on the reverse side is a mask of a balding satyr before a thyrsus and basket, symbols of Bacchus. Relief sculpture of this type, of which a number of others are known from Pompeii, Rome, and Ostia, stood on pillars and decorated the courtyards of villas or their gardens."
http://www.getty.edu/art/collection/objects/326000/unknown-maker-geometric-amphora-greek-775-750-bc/,Geometric amphora,"Medium-sized amphora, with a tall neck and bulbous waist. On the neck, hatched key, framed above and below by horizontal bands and pattern of connected elongated blobs. On the body, band of pointed ovals (‘leaves’), framed above and below by horizontal bands. Lower down, alternately broad black bands and groups of thin horizontal lines. The surface is worn and partially misfired. A crack runs down from the mouth on side B, but does not extend into the body (already noted in the 1962 sale catalogue)."
http://www.getty.edu/art/collection/objects/337384/veit-stoss-corpus-christi-german-about-1490-1500/,Corpus Christi,"Intended for private devotion, this small-scale statuette offers a compelling depiction of the crucified Christ with a dramatic, expressive face and a captivating, realistic body (corpus in Latin). The leading artist of his generation, Stoss worked in both Germany and Poland. He achieved fame for his exceptional virtuosity in carving wood in particular, as seen in the highly detailed curls of the hair and beard, folds and fringe of the drapery, swollen veins in Christ’s arms and legs, and wrinkles and mouth of the face."
http://www.getty.edu/art/collection/objects/226276/francois-thomas-germain-la-machine-d'argent-or-centerpiece-for-a-table-surtout-de-table-french-1754/,"""La Machine d'Argent"" or Centerpiece for a Table (surtout de table)","This unusual silver sculpture represents two birds, a rabbit, and a variety of vegetables. Lying on its side, the small rabbit is flanked by the game birds: an ortolan and a snipe with a long beak. A cauliflower with raggedly trimmed stalk and leaves rises above the animals. The still life also includes an onion, a turnip, a gherkin, a truffle, and a morel mushroom. Leafy plants peek out at the edges of a rocky ground evoking the earthen floor of a wood or glade.  "
http://www.getty.edu/art/collection/objects/326677/desiderio-da-settignano-bust-of-a-young-boy-italian-about-1460-1464/?dz=,Bust of a Young Boy,"This marble bust, cut just under the shoulders, represent a little boy of a very young age, probably around three years-old. Wearing a very fine tunic, he slightly turns his head to his left, his semi-opened eyes marked by a pensive gaze and his closed lips barely outlining the hint of a smile. The marble is skillfully carved as to evoke the smooth skin of the cheeks, the chubby flesh of the neck, and the silky hair whose elegantly intertwined locks are masterfully rendered in very low relief."
http://www.getty.edu/art/collection/objects/328670/auguste-rodin-bust-of-john-the-baptist-french-model-1880-cast-1886/?dz=,Bust of John the Baptist,"This bronze bust represents John the Baptist, the itinerant preacher who baptized Jesus Christ and is commonly considered his precursor. Rodin’s depiction is very natural and realistic: John’s long hair and beard, along with his sunken cheeks and bony chest, evoke the ascetic life the preacher lived in the desert. In addition, the deep holes with which the eyes are pierced, giving the illusion of an intense gaze, the open mouth and the chin slightly risen up convey the intense concentration and sincere faith of the saint's preaching act. Thus, a strikingly spiritual expression emanates from the figure."
http://www.getty.edu/art/collection/objects/5806/beauvais-manufactory-woven-under-the-direction-of-philippe-behagle-after-cartoons-by-guy-louis-vernansal-et-al-tapestry-les-astronomes-from-l'histoire-de-l'empereur-de-la-chine-series-french-about-1697-1705/,"Tapestry: Les Astronomes, from L'Histoire de l'empereur de la Chine Series","In a tapestry from the series known as The Story of the Emperor of China, European and Chinese figures assemble on a stone terrace around an elaborately mounted globe. In the center of the group stands the Chinese emperor, wearing the imperial insignia of the winged dragon and gesturing with one hand while the other rests possessively on the globe. The bearded man taking a measurement on the globe with a pair of dividers is the German Jesuit priest Father Schall von Bell, who attained a high rank in the Qing court through his knowledge of Western astronomy. He headed the Imperial Astronomical Bureau and developed a close personal relationship with the emperor, based on a shared interest in mathematics and astronomy."
http://www.getty.edu/art/collection/objects/226430/peter-paul-rubens-the-calydonian-boar-hunt-flemish-about-1611-1612/,The Calydonian Boar Hunt,"-Ovid, "
http://www.getty.edu/art/collection/objects/333122/eustache-le-sueur-crucifixion-french-about-1650-1655/,Crucifixion,"Le Sueur depicts Christ on the cross, still alive, alone in a rocky and mountainous landscape. Following an older tradition in art, he is represented attached to the cross with four nails. As he hangs dying, blood trickles from his feet and hands onto the cross and the rock of Golgotha, symbolizing the Christian belief that his death cleansed the original sin of Adam, whose skull is displayed below. There is a sense of absolute stillness, broken only by the suggestion that the open-mouthed Christ is pronouncing his last words: “My God, my God, why have you forsaken me?” (Matthew 27:46; Mark 15:34). The relatively small size, the delicacy of the brushwork, and the precious support on copper indicate that the painting was intended for private devotion."
